ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND
7.13,2.05,0.67,0.33,399,57.0,48.0,free,e/h,foc,e/u,"2500.00, 500.00","1941.10, 236.23",61.0,11.83325725577876,,
7.13,2.05,0.67,0.33,319,57.0,48.0,free,e/h,foc,e/u,"744.51, 188.61","2374.28, 200.38",61.0,11.8087259006289,,
7.13,2.05,0.67,0.33,239,57.0,48.0,free,e/h,foc,e/u,"1142.22, 173.36","2902.28, 200.06",61.0,11.78502216438149,,
7.13,2.05,0.67,0.33,159,57.0,48.0,free,e/h,foc,e/u,"2689.62, 192.33","2902.28, 200.06",61.0,11.76094505183211,,
7.13,2.05,0.67,0.33,79,57.0,48.0,free,e/h,foc,e/u,"2689.62, 192.33","2902.28, 200.06",61.0,11.73767981433405,,
7.46,4.02,0.79,0.32,399,75.0,45.0,distr,e/h,distr,y/u,"2500.00, 500.00","1630.23, 335.40",56.0,11.46526223716526,,
7.46,4.02,0.79,0.32,319,45.0,45.0,distr,e/h,distr,y/u,"677.24, 192.53","1526.80, 213.27",56.0,11.44074721042832,,
7.46,4.02,0.79,0.32,239,45.0,45.0,distr,e/h,distr,y/u,"602.31, 195.69","2903.75, 200.87",56.0,11.41704194285979,,
7.46,4.02,0.79,0.32,159,45.0,45.0,distr,e/h,distr,y/u,"2611.43, 191.42","2903.75, 200.87",56.0,11.39297210289077,,
7.46,4.02,0.79,0.32,79,45.0,45.0,distr,e/h,distr,y/u,"2761.39, 194.73","2903.75, 200.87",56.0,11.36970137860725,,
5.32,2.41,0.7,0.38,399,91.0,80.0,free,e/s,distr,y/s,"2500.00, 500.00","2346.51, 607.33",69.0,11.75538819756654,,
5.32,2.41,0.7,0.38,319,91.0,80.0,free,e/s,distr,y/s,"377.74, 162.09","2304.27, 453.01",69.0,11.73086660463563,,
5.32,2.41,0.7,0.38,239,91.0,48.0,free,e/s,distr,y/s,"377.74, 162.09","2162.26, 273.98",69.0,11.70717565542025,,
5.32,2.41,0.7,0.38,159,91.0,80.0,free,e/s,distr,y/s,"380.36, 154.75","2854.51, 194.35",69.0,11.68310223971416,,
5.32,2.41,0.7,0.38,79,91.0,80.0,free,e/s,distr,y/s,"2859.11, 192.79","2854.51, 194.35",69.0,11.6598926866716,,
