ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND
6.54,3.26,0.8,0.28,254,59.0,39.0,distr,y/s,free,y/u,"2500.00, 500.00","1517.54, 367.44",53.0,11.4496282644951,,
6.54,3.26,0.8,0.28,203,59.0,39.0,distr,y/s,free,y/u,"1378.36, 171.41","1517.54, 367.44",53.0,11.43365924393872,0.0,0.0981446
6.54,3.26,0.8,0.28,152,59.0,39.0,distr,y/s,free,y/u,"393.82, 174.68","1756.92, 201.62",53.0,11.41839094340025,0.0,0.0981446
6.54,3.26,0.8,0.28,101,59.0,39.0,distr,y/s,free,y/u,"396.77, 165.64","2887.92, 200.15",53.0,11.4032221566182,0.0,0.0981446
6.54,3.26,0.8,0.28,50,59.0,39.0,distr,y/s,free,y/u,"900.76, 168.42","2887.92, 200.15",53.0,11.38814254127404,0.0,0.0981446
7.13,2.05,0.67,0.33,399,57.0,48.0,free,e/h,foc,e/u,"2500.00, 500.00","1941.10, 236.23",61.0,11.83325725577876,0.901855,1.0
7.13,2.05,0.67,0.33,319,57.0,48.0,free,e/h,foc,e/u,"744.51, 188.61","2374.28, 200.38",61.0,11.8087259006289,0.901855,1.0
7.13,2.05,0.67,0.33,239,57.0,48.0,free,e/h,foc,e/u,"1142.22, 173.36","2902.28, 200.06",61.0,11.78502216438149,0.901855,1.0
7.13,2.05,0.67,0.33,159,57.0,48.0,free,e/h,foc,e/u,"2689.62, 192.33","2902.28, 200.06",61.0,11.76094505183211,,
7.13,2.05,0.67,0.33,79,57.0,48.0,free,e/h,foc,e/u,"2689.62, 192.33","2902.28, 200.06",61.0,11.73767981433405,,
